latitude	longitude	altitude	temperature	municipality	vereda	uchuva_ideal	temp_prob	alt_prob	alt_temp_prob	geometry
7.342	-75.167	375.0	24.91	Taraza	DORADAS BAJAS	0	0.17016920728171278	0.15679555808603973	0.026681775824795133	POINT (-75.167 7.342)
7.342	-75.158	468.0	24.9	Anori	SOLANO	0	0.17081058952306497	0.1867261824844352	0.031894809309557785	POINT (-75.158 7.342)
7.342	-75.149	887.0	22.43	Anori	SOLANO	0	0.3827022527894995	0.3685110799860589	0.14103002048855617	POINT (-75.149 7.342)
7.342	-75.14	872.0	22.53	Anori	SOLANO	0	0.37216499056948854	0.3607420929257891	0.13425557761174386	POINT (-75.14 7.342)
7.342	-75.131	866.0	22.57	Anori	SOLANO	0	0.3679905575404033	0.35765802018650644	0.1316147742572293	POINT (-75.131 7.342)
7.342	-75.122	858.0	22.62	Anori	SOLANO	0	0.3628056454808149	0.35356709842091316	0.1282761393633782	POINT (-75.122 7.342)
7.342	-75.112	680.0	23.78	Anori	SOLANO	0	0.2538103358859857	0.26922710474659955	0.06833262188534589	POINT (-75.112 7.342)
7.342	-75.103	545.0	24.4	Anori	PROVIDENCIA	0	0.205111816952077	0.21437842167995858	0.04397154758609484	POINT (-75.103 7.342)
7.342	-75.094	710.0	23.58	Anori	PROVIDENCIA	0	0.27097519328120473	0.28250755087267965	0.07655253820112415	POINT (-75.094 7.342)
7.342	-75.085	463.0	24.93	Anori	PROVIDENCIA	0	0.16889163208523503	0.1850212676945841	0.03124854387141748	POINT (-75.085 7.342)
7.342	-75.076	628.0	23.86	Anori	PROVIDENCIA	0	0.24714205159330327	0.2471420515933032	0.06107919366574696	POINT (-75.076 7.342)
7.342	-75.067	630.0	23.85	Anori	PROVIDENCIA	0	0.24796938202885052	0.24796938202885063	0.06148881442377004	POINT (-75.067 7.342)
7.342	-75.058	470.0	24.89	Anori	PROVIDENCIA	0	0.1714537033725478	0.18741122731622886	0.032132348976961836	POINT (-75.058 7.342)
7.342	-75.049	482.0	24.81	Anori	PROVIDENCIA	0	0.17666111254902886	0.19155850650976244	0.03384093887824502	POINT (-75.049 7.342)
7.342	-75.04	556.0	24.33	Anori	PROVIDENCIA	0	0.21026681649462284	0.21854398070728645	0.045952547087383395	POINT (-75.04 7.342)
7.342	-75.03	446.0	25.05	Anori	PROVIDENCIA	0	0.1613708736642047	0.1793066159999883	0.028934865277690174	POINT (-75.03 7.342)
7.342	-75.021	299.0	25.62	Anori	PROVIDENCIA	0	0.12895548650784971	0.1350648156279244	0.017417349009392017	POINT (-75.021 7.342)
7.342	-75.012	436.0	24.73	Anori	PROVIDENCIA	0	0.18198008881601438	0.1760040980218503	0.03202924138999882	POINT (-75.012 7.342)
7.342	-75.003	198.0	26.14	Anori	PROVIDENCIA	0	0.10391396311128222	0.10978822457122563	0.011408529518147508	POINT (-75.003 7.342)
7.342	-74.994	383.0	25.08	Anori	LEVERIA	0	0.1595292480841145	0.15922380306634043	0.025400853580266416	POINT (-74.994 7.342)
7.342	-74.985	270.0	25.81	Anori	LEVERIA	0	0.11932290181840761	0.12739662851114705	0.015201335395831747	POINT (-74.985 7.342)
7.342	-74.976	291.0	25.68	Anori	LOS TROZOS	0	0.1258520837661431	0.13291565830500426	0.01672771256283345	POINT (-74.976 7.342)
7.342	-74.967	378.0	25.11	Anori	LOS TROZOS	0	0.15770296242439738	0.15770296242439735	0.024870224357430887	POINT (-74.967 7.342)
7.342	-74.957	249.0	25.95	Anori	LEVERIA	0	0.11258463827291493	0.12205292705567204	0.013741284642713309	POINT (-74.957 7.342)
7.342	-74.948	277.0	25.77	Anori	LEVERIA	0	0.12130369522208123	0.12921669212045028	0.015674462238584607	POINT (-74.948 7.342)
7.342	-74.939	352.0	25.28	Anori	LEVERIA	0	0.1476415355851005	0.14996520176989597	0.02214109267363687	POINT (-74.939 7.342)
7.342	-74.93	362.0	25.07	Anori	LEVERIA	0	0.16014141665877726	0.15290751767341032	0.02448682649799695	POINT (-74.93 7.342)
7.342	-74.921	377.0	25.12	Anori	LEVERIA	0	0.15709760168580686	0.15740006972803197	0.024727173459452592	POINT (-74.921 7.342)
7.342	-74.912	427.0	24.79	Anori	LEVERIA	0	0.17798037278900827	0.17306907270125207	0.030802898077616818	POINT (-74.912 7.342)
7.342	-74.903	348.0	25.16	Anori	LEVERIA	0	0.15469311931408491	0.1488000232995739	0.0230183397582196	POINT (-74.903 7.342)
7.342	-74.894	114.0	26.73	Anori	LEVERIA	0	0.08027813391742364	0.09169403049860833	0.007361025659795607	POINT (-74.894 7.342)
7.342	-74.884	349.0	25.15	Zaragoza	CANA MEDIO	0	0.15529169925475442	0.14909069007089834	0.023152546604173745	POINT (-74.884 7.342)
7.342	-74.875	268.0	25.68	Zaragoza	CANA MEDIO	0	0.1258520837661431	0.1268801929967564	0.01596813667729219	POINT (-74.875 7.342)
7.342	-74.866	242.0	25.85	Zaragoza	EL SALTILLO	0	0.11736694147977546	0.12031018454806641	0.014120438389273897	POINT (-74.866 7.342)
7.342	-74.857	204.0	26.15	Zaragoza	EL SALTILLO	0	0.1034724381301305	0.11117964082878871	0.011504028506986971	POINT (-74.857 7.342)
7.342	-74.848	224.0	26.02	Zaragoza	EL VEINTE	0	0.10932742503940632	0.11591617249719935	0.012672816659542454	POINT (-74.848 7.342)
7.342	-74.839	276.0	25.68	Zaragoza	EL SALTILLO	0	0.1258520837661431	0.12895548650784977	0.016229316690089646	POINT (-74.839 7.342)
7.342	-74.83	469.0	24.37	Zaragoza	PABLO MUERA	0	0.207310419064552	0.18706848485536692	0.03878124598913692	POINT (-74.83 7.342)
7.342	-74.821	319.0	25.4	Zaragoza	PABLO MUERA	0	0.14083025205384148	0.14055161375230396	0.019793919191311137	POINT (-74.821 7.342)
7.342	-74.812	245.0	25.88	Zaragoza	PABLO MUERA	0	0.11591617249719939	0.12105473261465793	0.014032201267363037	POINT (-74.812 7.342)
7.342	-74.802	159.0	26.44	Zaragoza	PABLO MUERA	0	0.09129383667114607	0.1010701448228586	0.009227081293787133	POINT (-74.802 7.342)
7.342	-74.793	282.0	25.64	Zaragoza	POCUNE MEDIO	0	0.12791465439328356	0.13052871997446142	0.01669653610393092	POINT (-74.793 7.342)
7.342	-74.784	209.0	26.12	Zaragoza	POCUNE MEDIO	0	0.10480141555313639	0.11234952592341246	0.011774389353497419	POINT (-74.784 7.342)
7.342	-74.775	205.0	26.2	Zaragoza	POCUNE MEDIO	0	0.10128671717171848	0.11141286203832584	0.011284643046567601	POINT (-74.775 7.342)
7.342	-74.766	213.0	26.15	Zaragoza	EL CENIZO	0	0.1034724381301305	0.11329225178537793	0.011722625513485685	POINT (-74.766 7.342)
7.342	-74.757	217.0	26.12	Zaragoza	EL CENIZO	0	0.10480141555313639	0.11424106019677167	0.011972624822912737	POINT (-74.757 7.342)
7.342	-74.748	247.0	25.93	Zaragoza	EL PESCADO	0	0.11352888284823706	0.12155304829586434	0.013799781779827285	POINT (-74.748 7.342)
7.342	-74.739	233.0	26.02	Zaragoza	EL PESCADO	0	0.10932742503940632	0.1180975265133814	0.012911298477231005	POINT (-74.739 7.342)
7.342	-74.729	236.0	26.0	Zaragoza	EL PESCADO	0	0.11025052530448522	0.11883158979920311	0.01310124519812925	POINT (-74.729 7.342)
7.342	-74.72	127.0	26.71	Zaragoza	EL PESCADO	0	0.08100195409265601	0.09432919879460358	0.007640849430357502	POINT (-74.72 7.342)
7.342	-74.711	206.0	26.19	Zaragoza	TESORO	0	0.1017209499093536	0.1116464608288	0.011356784049522974	POINT (-74.711 7.342)
7.342	-74.702	195.0	26.26	Zaragoza	TESORO	0	0.09871168011301965	0.1090975874048895	0.010769206149013654	POINT (-74.702 7.342)
7.342	-74.693	241.0	26.05	Zaragoza	SANTA ISABEL	0	0.10795400739658241	0.12006278076088503	0.012961258322314834	POINT (-74.693 7.342)
7.342	-74.684	207.0	26.19	Zaragoza	SANTA ISABEL	0	0.1017209499093536	0.11188043752419603	0.01138058438123531	POINT (-74.684 7.342)
7.342	-74.675	192.0	26.28	Zaragoza	LA PALMA	0	0.09786483373021214	0.10841031908459141	0.010609557851852781	POINT (-74.675 7.342)
7.342	-74.666	227.0	26.14	Zaragoza	SANTA ISABEL	0	0.10391396311128222	0.1166398262907188	0.01212050660648012	POINT (-74.666 7.342)
